SMILES,pIC50
COC1=CC=C(N(C2CCN(CC3=CC=CC=C3)CC2)C(NCCCN4C=NC=C4C)=O)C=C1OC,8.12
COC1=CC=C(N(C2CCN(CC3=CC=C(F)C=C3)CC2)C(NCCCN4C=NC=C4C)=O)C=C1OC,7.87
CC1=CN=CN1CCCNC(N(C2CCN(CC3=CC=CN=C3)CC2)C4=CC=C(OC)C(OC)=C4)=O,7.63
COC1=CC=C(N(CCN2CCNCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.82
COC1=CC=C(N(CCN2CCOCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.6
O=C(NCCCN1C(C)=CN=C1)CC2=CC=C(OC)C(OC)=C2,6.74
O=C(NCCCN1C(C)=CN=C1)C(C)C2=CC=C(OC)C(OC)=C2,6.95
O=C(NCCCN1C(C)=CN=C1)C(C)(C)C2=CC=C(OC)C(OC)=C2,7.11
O=C(NCCCN1C(C)=CN=C1)C2(CC2)C3=CC=C(OC)C(OC)=C3,7.61
O=C(NCCCN1C(C)=CN=C1)C2(CCC2)C3=CC=C(OC)C(OC)=C3,7.43
O=C(NCCCN1C(C)=CN=C1)C2(CCCCC2)C3=CC=C(OC)C(OC)=C3,7.11
O=C(NCCCN1C(C)=CN=C1)C(CC2=CC=CC=C2)C3=CC=C(OC)C(OC)=C3,7.41
O=C(NCCCN1C(C)=CN=C1)C(CC2=CN=CC=C2)C3=CC=C(OC)C(OC)=C3,7.09
COC1=C(OC)C=CC(SCC(S2)=NN=C2C(C=C3)=CC4=C3NC=N4)=C1,7.32
O=C(NC[C@H]1C2=CC=C(OCCC)C=C2)N1C(C=C3)=CC4=C3NC=N4,7.54
CN1C(C2CCN(C3=NC=CC=C3C4=CN=C(F)C=C4)CC2)=NN=C1,7.78
CC1=CN(CCCNC2=CC=CC=C2C3=CC=C(F)C=C3)C=N1,6.93
CC1=CN=CN1CCCNC2=NC3=C(C=C(OC)C(OC)=C3)S2,6.52
CC1=CN=CN1CCCNC2=NC3=C(C=C(OC)C(OC)=C3)N2,6.96
CC1=CN=CN1CCC2=CSC(NC3=CC(OC)=C(OC)C=C3)=N2,6.49
CC1=CN=CN1CCC2=NN=C(NC3=CC(OC)=C(OC)C=C3)O2,6.38
