SMILES,pIC50
S=C(NCC1=CC=CC=C1OC(F)(F)F)NC2=CC=C(NC=N3)C3=C2,4.85
S=C(NC(C)C1=CC=CC=C1)NC2=CC=C(NC=N3)C3=C2,4.73
S=C(NCC1=CC(OC)=CC=C1OC)NC2=CC=C(NC=N3)C3=C2,5.12
S=C(NCC1=CC=C(OC)C(O)=C1)NC2=CC=C(NC=N3)C3=C2,5.58
S=C(NCC1=CC=C(OC)C(Cl)=C1)NC2=CC=C(NC=N3)C3=C2,5.92
N1(CCCNC2=NC(C3=CC=CC=C3)=NC(C4=CC=CC=C4)=C2)C=NC=C1,4.3
N1(CCCNC2=NC(C3=CC=CC=C3)=NC(C4=COC=C4)=C2)C=NC=C1,4.39
O=[N+](C(C=C1)=CC=C1C2=CC(NCCCN3C=NC=C3)=NC(C4=CC=NC=C4)=N2)[O-],4.77
CC(C=C1)=CC=C1C2=CC(NCCCN3C=NC=C3)=NC(C4=CC=NC=C4)=N2,4.51
CC1=NC(C2=CC(C=CC=N3)=C3C=C2)=CC(NCCCN4C=CN=C4)=N1,4.5
C1(NCCCN2C=CN=C2)=NC(C3=CC=NC=C3)=NC(C4CC4C5=CC=CC=C5)=C1,4.58
O=[N+](/C=C(NC1CCCCC1)\NCCCN2C=CN=C2)[O-],5.31
O=[N+](/C=C(NC1=CC=C(C(F)(F)F)C=C1)\NCCCN2C=CN=C2)[O-],5.36
COC(C(OC)=C1)=C(OC)C=C1N/C(NCCCN2C=CN=C2)=C/[N+]([O-])=O,5.19
CC1=CN=CN1CCCN/C(NC2=CC(OC)=C(OC)C(OC)=C2)=C\[N+]([O-])=O,6.21
CC1=CN=CN1CCCCN/C(NC2CCCCC2)=C\[N+]([O-])=O,6.24
CC1=CN=CN1CCCN/C(NC2=CC=C(CC)C=C2)=N\C#N,6.21
CC1=CN=CN1CCCN/C(NC2=CC(C)=C(C)C=C2)=N/C#N,6.17
CC1=CN=CN1CCCN/C(NC2=C(C)C=C(C)C=C2C)=N\C#N,6.2
CC1=CN=CN1CCCN/C(NC2=CC3=NSN=C3C=C2)=N\C#N,5.87
CC1=CN=CN1CCCN/C(NC2=CC(Cl)=C(Cl)C=C2)=N\C#N,6.17
N#C/N=C(NC1=CC=C(C(C)C)C=C1)\NCCCN2C=NC(C)=C2,4.83
CC1=CN=CN1CCCN2C(C(C(CCCCC3)=C3S4)=C4NC2=S)=O,6.88
S=C1NC2=C(C(C)=C(C)S2)C(N1CCCN3C=NC(C)=C3)=O,5.48
S=C1NC2=C(C(CCCCCC3)=C3S2)C(N1CCCN4C=NC(C)=C4)=O,5.57
S=C1NC2=C(C(CCC3)=C3S2)C(N1CCCN4C=NC=C4)=O,5.23
CCCCC1=CC=CN2C1=CN=C2,4.88
FC(C=C1)=CC=C1C2=CC=CN3C2=CN=C3,4.97
COC(C(C)=C1)=CC=C1C2=CC=CN3C2=CN=C3,4.58
COC1=CC(C2=CC=CN3C2=CN=C3)=CC=C1OC,4.81
COC(C(C)=C1)=C(C)C=C1C2=CC=CN3C2=CN=C3,4.56
SC(O1)=NN=C1C2=CC=C3C(N=CN3)=C2,5
